plot,site,ft,asn,lat,long,datum,ba ,st.ha,ts,bearing,aspect,slope,canopy.cover,cwd.no,cwd.con,vcwd,vcwd.con,avg.dc,tot.snags,avg.snag.ht,avg.snag.dbh,soil.ph
WA2TS,WA2,TS,3,N 42°28.954',W 71°53.272',NAD83,63.8,736,0.59,274,W,18,93,5,4,5.9,2.4,3.8,2,11,17,4.067
WA2TS,WA2,TS,4,N 42°28.921',W 71°53.286',NAD83,83.9,905,0.44,254,W,34,93,10,5,77.4,14.5,2.7,1,10,28,3.952
WA2TS,WA2,TS,5,N 42°28.946',W 71°53.302',NAD83,49.6,340,0.48,276,W,8,94,11,6,210.5,192.9,3.2,0,0,0,3.926
WA2MD,WA2,MD,1,N 42°29.192',W 71°53.138',NAD83,27.2,1075,0,142,SE,18,92,7,6,8.1,7.4,3,6,5,10,4.301
WA2MD,WA2,MD,2,N 42°29.194',W 71°53.124',NAD83,35.7,679,0,133,SE,10,95,5,4,30.8,30,3,1,3,9,4.695
WA2MD,WA2,MD,3,N 42°29.176',W 71°53.125',NAD83,27.1,905,0,150,SE,26,81,12,9,44.8,37.4,3.6,8,5,9,3.739
WA2MD,WA2,MD,4,N 42°29.179',W 71°53.145',NAD83,30.8,1132,0,167,S,23,92,4,2,3,1.6,3.3,8,3,8,3.957
WA2MD,WA2,MD,5,N 42°29.179',W 71°53.130',NAD83,20.6,339.5,0,140,SE,10,84,5,2,13.4,6.3,3,4,4,17,4.686
WA3TS,WA3,TS,1,NA,NA,NA,42.1,622,0.38,315,NW,6,92,7,6,44.5,30.5,3,3,6,15,4.413
WA3TS,WA3,TS,2,N 42°30.113',W 71°54.075',NAD83,36,736,0.22,307,NW,7,93,8,8,41.8,41.8,3.4,1,4,9,4.695
WA3TS,WA3,TS,3,N 42°30.100',W 71°54.072',NAD83,36.1,736,0.32,293,NW,10,90,8,7,17.2,16.6,3.5,1,12,14,4.68
WA3TS,WA3,TS,4,NA,NA,NA,43.7,736,0.28,337,NW,8,93,4,3,16.7,11.7,3,3,5,22,4.07
WA3TS,WA3,TS,5,N 42°30.110',W 71°54.088',NAD83,58,736,0.49,330,NW,7,90,4,2,5.5,4.1,3.3,4,8,15,4.956
WA3MD,WA3,MD,1,N 42°29.990',W 71°53.931',NAD83,36,962,0,314,NW,8,92,7,6,8.3,7.4,3.4,1,4,8,4.62
