ft,site,plot,asn,aco,lat_dd,long_dd
TS,MR,MRTS,2,63,42.6274,-72.1938
TS,MR,MRTS,2,64,42.6274,-72.1938
TS,MR,MRTS,2,63,42.6274,-72.1938
TS,MR,MRTS,2,64,42.6274,-72.1938
TS,MR,MRTS,2,63,42.6274,-72.1938
TS,MR,MRTS,2,64,42.6274,-72.1938
TS,MR,MRTS,2,63,42.6274,-72.1938
TS,MR,MRTS,2,64,42.6274,-72.1938
TS,MR,MRTS,2,63,42.6274,-72.1938
TS,MR,MRTS,2,64,42.6274,-72.1938
TS,MR,MRTS,2,63,42.6274,-72.1938
TS,MR,MRTS,2,64,42.6274,-72.1938
TS,MR,MRTS,2,63,42.6274,-72.1938
TS,MR,MRTS,2,64,42.6274,-72.1938
TS,MR,MRTS,3,65,42.6271,-72.1938
TS,MR,MRTS,3,66,42.6271,-72.1938
TS,MR,MRTS,3,65,42.6271,-72.1938
TS,MR,MRTS,3,66,42.6271,-72.1938
TS,MR,MRTS,3,65,42.6271,-72.1938
TS,MR,MRTS,3,66,42.6271,-72.1938
TS,MR,MRTS,3,65,42.6271,-72.1938
TS,MR,MRTS,3,66,42.6271,-72.1938
TS,MR,MRTS,3,65,42.6271,-72.1938
TS,MR,MRTS,3,66,42.6271,-72.1938
TS,MR,MRTS,3,65,42.6271,-72.1938
TS,MR,MRTS,3,66,42.6271,-72.1938
TS,MR,MRTS,3,65,42.6271,-72.1938
TS,MR,MRTS,3,66,42.6271,-72.1938
TS,MR,MRTS,3,65,42.6271,-72.1938
TS,MR,MRTS,3,66,42.6271,-72.1938
TS,MR,MRTS,4,67,42.6275,-72.194
TS,MR,MRTS,4,68,42.6275,-72.194
TS,MR,MRTS,4,67,42.6275,-72.194
TS,MR,MRTS,4,68,42.6275,-72.194
TS,MR,MRTS,4,67,42.6275,-72.194
TS,MR,MRTS,4,68,42.6275,-72.194
TS,MR,MRTS,4,67,42.6275,-72.194
TS,MR,MRTS,4,68,42.6275,-72.194
TS,MR,MRTS,4,67,42.6275,-72.194
TS,MR,MRTS,4,68,42.6275,-72.194
TS,MR,MRTS,4,67,42.6275,-72.194
TS,MR,MRTS,4,68,42.6275,-72.194
TS,MR,MRTS,4,67,42.6275,-72.194
TS,MR,MRTS,4,68,42.6275,-72.194
TS,MR,MRTS,4,67,42.6275,-72.194
TS,MR,MRTS,4,68,42.6275,-72.194
TS,MR,MRTS,5,69,42.6273,-72.1937
TS,MR,MRTS,5,70,42.6273,-72.1937
TS,MR,MRTS,5,69,42.6273,-72.1937
TS,MR,MRTS,5,70,42.6273,-72.1937
TS,MR,MRTS,5,69,42.6273,-72.1937
TS,MR,MRTS,5,70,42.6273,-72.1937
TS,MR,MRTS,5,69,42.6273,-72.1937
TS,MR,MRTS,5,70,42.6273,-72.1937
TS,MR,MRTS,5,69,42.6273,-72.1937
TS,MR,MRTS,5,70,42.6273,-72.1937
TS,MR,MRTS,5,69,42.6273,-72.1937
TS,MR,MRTS,5,70,42.6273,-72.1937
TS,MR,MRTS,5,69,42.6273,-72.1937
TS,MR,MRTS,5,70,42.6273,-72.1937
TS,MR,MRTS,5,69,42.6273,-72.1937
TS,MR,MRTS,5,70,42.6273,-72.1937
MD,MR,MRMD,1,71,42.6273,-72.1927
MD,MR,MRMD,1,72,42.6273,-72.1927
MD,MR,MRMD,1,71,42.6273,-72.1927
MD,MR,MRMD,1,72,42.6273,-72.1927
MD,MR,MRMD,1,71,42.6273,-72.1927
MD,MR,MRMD,1,72,42.6273,-72.1927
MD,MR,MRMD,1,71,42.6273,-72.1927
MD,MR,MRMD,1,72,42.6273,-72.1927
MD,MR,MRMD,1,71,42.6273,-72.1927
MD,MR,MRMD,1,72,42.6273,-72.1927
MD,MR,MRMD,1,71,42.6273,-72.1927
MD,MR,MRMD,1,72,42.6273,-72.1927
MD,MR,MRMD,1,71,42.6273,-72.1927
MD,MR,MRMD,1,72,42.6273,-72.1927
MD,MR,MRMD,1,71,42.6273,-72.1927
MD,MR,MRMD,1,72,42.6273,-72.1927
MD,MR,MRMD,2,73,42.6272,-72.1923
MD,MR,MRMD,2,74,42.6272,-72.1923
MD,MR,MRMD,2,73,42.6272,-72.1923
MD,MR,MRMD,2,74,42.6272,-72.1923
MD,MR,MRMD,2,73,42.6272,-72.1923
MD,MR,MRMD,2,74,42.6272,-72.1923
MD,MR,MRMD,2,73,42.6272,-72.1923
MD,MR,MRMD,2,74,42.6272,-72.1923
MD,MR,MRMD,2,73,42.6272,-72.1923
MD,MR,MRMD,2,74,42.6272,-72.1923
MD,MR,MRMD,2,73,42.6272,-72.1923
MD,MR,MRMD,2,74,42.6272,-72.1923
MD,MR,MRMD,2,73,42.6272,-72.1923
MD,MR,MRMD,2,74,42.6272,-72.1923
MD,MR,MRMD,2,73,42.6272,-72.1923
MD,MR,MRMD,2,74,42.6272,-72.1923
MD,MR,MRMD,3,75,42.627,-72.1925
MD,MR,MRMD,3,76,42.627,-72.1925
MD,MR,MRMD,3,75,42.627,-72.1925
MD,MR,MRMD,3,76,42.627,-72.1925
MD,MR,MRMD,3,75,42.627,-72.1925
MD,MR,MRMD,3,76,42.627,-72.1925
MD,MR,MRMD,3,75,42.627,-72.1925
MD,MR,MRMD,3,76,42.627,-72.1925
MD,MR,MRMD,3,75,42.627,-72.1925
MD,MR,MRMD,3,76,42.627,-72.1925
MD,MR,MRMD,3,75,42.627,-72.1925
MD,MR,MRMD,3,76,42.627,-72.1925
MD,MR,MRMD,3,75,42.627,-72.1925
MD,MR,MRMD,3,76,42.627,-72.1925
MD,MR,MRMD,3,75,42.627,-72.1925
MD,MR,MRMD,3,76,42.627,-72.1925
MD,MR,MRMD,4,77,42.627,-72.193
MD,MR,MRMD,4,78,42.627,-72.193
MD,MR,MRMD,4,77,42.627,-72.193
MD,MR,MRMD,4,78,42.627,-72.193
MD,MR,MRMD,4,77,42.627,-72.193
MD,MR,MRMD,4,78,42.627,-72.193
MD,MR,MRMD,4,77,42.627,-72.193
MD,MR,MRMD,4,78,42.627,-72.193
MD,MR,MRMD,4,77,42.627,-72.193
MD,MR,MRMD,4,78,42.627,-72.193
MD,MR,MRMD,4,77,42.627,-72.193
MD,MR,MRMD,4,78,42.627,-72.193
MD,MR,MRMD,4,77,42.627,-72.193
MD,MR,MRMD,4,78,42.627,-72.193
MD,MR,MRMD,4,77,42.627,-72.193
MD,MR,MRMD,4,78,42.627,-72.193
MD,MR,MRMD,5,79,42.6271,-72.1927
MD,MR,MRMD,5,80,42.6271,-72.1927
MD,MR,MRMD,5,79,42.6271,-72.1927
MD,MR,MRMD,5,80,42.6271,-72.1927
MD,MR,MRMD,5,79,42.6271,-72.1927
MD,MR,MRMD,5,80,42.6271,-72.1927
MD,MR,MRMD,5,79,42.6271,-72.1927
MD,MR,MRMD,5,80,42.6271,-72.1927
MD,MR,MRMD,5,79,42.6271,-72.1927
MD,MR,MRMD,5,80,42.6271,-72.1927
MD,MR,MRMD,5,79,42.6271,-72.1927
MD,MR,MRMD,5,80,42.6271,-72.1927
MD,MR,MRMD,5,79,42.6271,-72.1927
MD,MR,MRMD,5,80,42.6271,-72.1927
MD,MR,MRMD,5,79,42.6271,-72.1927
MD,MR,MRMD,5,80,42.6271,-72.1927
TS,BH,BHTS,1,81,42.6792,-72.1414
TS,BH,BHTS,1,82,42.6792,-72.1414
TS,BH,BHTS,1,81,42.6792,-72.1414
TS,BH,BHTS,1,82,42.6792,-72.1414
TS,BH,BHTS,1,81,42.6792,-72.1414
TS,BH,BHTS,1,82,42.6792,-72.1414
TS,BH,BHTS,1,81,42.6792,-72.1414
TS,BH,BHTS,1,82,42.6792,-72.1414
TS,BH,BHTS,1,81,42.6792,-72.1414
TS,BH,BHTS,1,82,42.6792,-72.1414
TS,BH,BHTS,1,81,42.6792,-72.1414
TS,BH,BHTS,1,82,42.6792,-72.1414
TS,BH,BHTS,1,81,42.6792,-72.1414
TS,BH,BHTS,1,82,42.6792,-72.1414
TS,BH,BHTS,2,83,42.6789,-72.1412
TS,BH,BHTS,2,84,42.6789,-72.1412
TS,BH,BHTS,2,83,42.6789,-72.1412
TS,BH,BHTS,2,84,42.6789,-72.1412
TS,BH,BHTS,2,83,42.6789,-72.1412
TS,BH,BHTS,2,84,42.6789,-72.1412
TS,BH,BHTS,2,83,42.6789,-72.1412
TS,BH,BHTS,2,84,42.6789,-72.1412
TS,BH,BHTS,2,83,42.6789,-72.1412
TS,BH,BHTS,2,84,42.6789,-72.1412
TS,BH,BHTS,2,83,42.6789,-72.1412
TS,BH,BHTS,2,84,42.6789,-72.1412
TS,BH,BHTS,2,83,42.6789,-72.1412
TS,BH,BHTS,2,84,42.6789,-72.1412
TS,BH,BHTS,3,85,42.6789,-72.1418
TS,BH,BHTS,3,86,42.6789,-72.1418
TS,BH,BHTS,3,85,42.6789,-72.1418
TS,BH,BHTS,3,86,42.6789,-72.1418
TS,BH,BHTS,3,85,42.6789,-72.1418
TS,BH,BHTS,3,86,42.6789,-72.1418
TS,BH,BHTS,3,85,42.6789,-72.1418
TS,BH,BHTS,3,86,42.6789,-72.1418
TS,BH,BHTS,3,85,42.6789,-72.1418
TS,BH,BHTS,3,86,42.6789,-72.1418
TS,BH,BHTS,3,85,42.6789,-72.1418
TS,BH,BHTS,3,86,42.6789,-72.1418
TS,BH,BHTS,3,85,42.6789,-72.1418
TS,BH,BHTS,3,86,42.6789,-72.1418
TS,BH,BHTS,4,87,42.6791,-72.1419
TS,BH,BHTS,4,88,42.6791,-72.1419
TS,BH,BHTS,4,87,42.6791,-72.1419
TS,BH,BHTS,4,88,42.6791,-72.1419
TS,BH,BHTS,4,87,42.6791,-72.1419
TS,BH,BHTS,4,88,42.6791,-72.1419
TS,BH,BHTS,4,87,42.6791,-72.1419
TS,BH,BHTS,4,88,42.6791,-72.1419
TS,BH,BHTS,4,87,42.6791,-72.1419
TS,BH,BHTS,4,88,42.6791,-72.1419
TS,BH,BHTS,4,87,42.6791,-72.1419
TS,BH,BHTS,4,88,42.6791,-72.1419
TS,BH,BHTS,4,87,42.6791,-72.1419
TS,BH,BHTS,4,88,42.6791,-72.1419
TS,BH,BHTS,5,89,42.6791,-72.1415
TS,BH,BHTS,5,90,42.6791,-72.1415
TS,BH,BHTS,5,89,42.6791,-72.1415
TS,BH,BHTS,5,90,42.6791,-72.1415
TS,BH,BHTS,5,89,42.6791,-72.1415
TS,BH,BHTS,5,90,42.6791,-72.1415
TS,BH,BHTS,5,89,42.6791,-72.1415
TS,BH,BHTS,5,90,42.6791,-72.1415
TS,BH,BHTS,5,89,42.6791,-72.1415
TS,BH,BHTS,5,90,42.6791,-72.1415
TS,BH,BHTS,5,89,42.6791,-72.1415
TS,BH,BHTS,5,90,42.6791,-72.1415
TS,BH,BHTS,5,89,42.6791,-72.1415
TS,BH,BHTS,5,90,42.6791,-72.1415
MD,BH,BHMD,1,91,42.6762,-72.1389
MD,BH,BHMD,1,92,42.6762,-72.1389
MD,BH,BHMD,1,91,42.6762,-72.1389
MD,BH,BHMD,1,92,42.6762,-72.1389
MD,BH,BHMD,1,91,42.6762,-72.1389
MD,BH,BHMD,1,92,42.6762,-72.1389
MD,BH,BHMD,1,91,42.6762,-72.1389
MD,BH,BHMD,1,92,42.6762,-72.1389
MD,BH,BHMD,1,91,42.6762,-72.1389
MD,BH,BHMD,1,92,42.6762,-72.1389
MD,BH,BHMD,1,91,42.6762,-72.1389
MD,BH,BHMD,1,92,42.6762,-72.1389
MD,BH,BHMD,1,91,42.6762,-72.1389
MD,BH,BHMD,1,92,42.6762,-72.1389
MD,BH,BHMD,2,93,42.676,-72.1385
MD,BH,BHMD,2,94,42.676,-72.1385
MD,BH,BHMD,2,93,42.676,-72.1385
MD,BH,BHMD,2,94,42.676,-72.1385
MD,BH,BHMD,2,93,42.676,-72.1385
MD,BH,BHMD,2,94,42.676,-72.1385
MD,BH,BHMD,2,93,42.676,-72.1385
MD,BH,BHMD,2,94,42.676,-72.1385
MD,BH,BHMD,2,93,42.676,-72.1385
MD,BH,BHMD,2,94,42.676,-72.1385
MD,BH,BHMD,2,93,42.676,-72.1385
MD,BH,BHMD,2,94,42.676,-72.1385
MD,BH,BHMD,2,93,42.676,-72.1385
MD,BH,BHMD,2,94,42.676,-72.1385
MD,BH,BHMD,3,95,42.6758,-72.1386
MD,BH,BHMD,3,96,42.6758,-72.1386
MD,BH,BHMD,3,95,42.6758,-72.1386
MD,BH,BHMD,3,96,42.6758,-72.1386
MD,BH,BHMD,3,95,42.6758,-72.1386
MD,BH,BHMD,3,96,42.6758,-72.1386
MD,BH,BHMD,3,95,42.6758,-72.1386
MD,BH,BHMD,3,96,42.6758,-72.1386
MD,BH,BHMD,3,95,42.6758,-72.1386
MD,BH,BHMD,3,96,42.6758,-72.1386
MD,BH,BHMD,3,95,42.6758,-72.1386
MD,BH,BHMD,3,96,42.6758,-72.1386
MD,BH,BHMD,3,95,42.6758,-72.1386
MD,BH,BHMD,3,96,42.6758,-72.1386
MD,BH,BHMD,4,97,42.6758,-72.1391
MD,BH,BHMD,4,98,42.6758,-72.1391
MD,BH,BHMD,4,97,42.6758,-72.1391
MD,BH,BHMD,4,98,42.6758,-72.1391
MD,BH,BHMD,4,97,42.6758,-72.1391
MD,BH,BHMD,4,98,42.6758,-72.1391
MD,BH,BHMD,4,97,42.6758,-72.1391
MD,BH,BHMD,4,98,42.6758,-72.1391
MD,BH,BHMD,4,97,42.6758,-72.1391
MD,BH,BHMD,4,98,42.6758,-72.1391
MD,BH,BHMD,4,97,42.6758,-72.1391
MD,BH,BHMD,4,98,42.6758,-72.1391
MD,BH,BHMD,4,97,42.6758,-72.1391
MD,BH,BHMD,4,98,42.6758,-72.1391
MD,BH,BHMD,5,99,42.6759,-72.1388
MD,BH,BHMD,5,100,42.6759,-72.1388
MD,BH,BHMD,5,99,42.6759,-72.1388
MD,BH,BHMD,5,100,42.6759,-72.1388
MD,BH,BHMD,5,99,42.6759,-72.1388
MD,BH,BHMD,5,100,42.6759,-72.1388
MD,BH,BHMD,5,99,42.6759,-72.1388
MD,BH,BHMD,5,100,42.6759,-72.1388
MD,BH,BHMD,5,99,42.6759,-72.1388
MD,BH,BHMD,5,100,42.6759,-72.1388
MD,BH,BHMD,5,99,42.6759,-72.1388
MD,BH,BHMD,5,100,42.6759,-72.1388
MD,BH,BHMD,5,99,42.6759,-72.1388
MD,BH,BHMD,5,100,42.6759,-72.1388
TS,ER1,ER1TS,1,101,42.6282,-72.3664
TS,ER1,ER1TS,1,102,42.6282,-72.3664
TS,ER1,ER1TS,1,101,42.6282,-72.3664
TS,ER1,ER1TS,1,102,42.6282,-72.3664
TS,ER1,ER1TS,1,101,42.6282,-72.3664
TS,ER1,ER1TS,1,102,42.6282,-72.3664
TS,ER1,ER1TS,1,101,42.6282,-72.3664
TS,ER1,ER1TS,1,102,42.6282,-72.3664
TS,ER1,ER1TS,1,109,42.6282,-72.3664
TS,ER1,ER1TS,1,110,42.6282,-72.3664
TS,ER1,ER1TS,1,101,42.6282,-72.3664
TS,ER1,ER1TS,1,102,42.6282,-72.3664
TS,ER1,ER1TS,1,101,42.6282,-72.3664
TS,ER1,ER1TS,1,102,42.6282,-72.3664
TS,ER1,ER1TS,1,101,42.6282,-72.3664
TS,ER1,ER1TS,1,102,42.6282,-72.3664
TS,ER1,ER1TS,2,103,42.6282,-72.366
TS,ER1,ER1TS,2,104,42.6282,-72.366
TS,ER1,ER1TS,2,103,42.6282,-72.366
TS,ER1,ER1TS,2,104,42.6282,-72.366
TS,ER1,ER1TS,2,103,42.6282,-72.366
TS,ER1,ER1TS,2,104,42.6282,-72.366
TS,ER1,ER1TS,2,103,42.6282,-72.366
TS,ER1,ER1TS,2,104,42.6282,-72.366
TS,ER1,ER1TS,2,111,42.6282,-72.366
TS,ER1,ER1TS,2,112,42.6282,-72.366
TS,ER1,ER1TS,2,103,42.6282,-72.366
TS,ER1,ER1TS,2,104,42.6282,-72.366
TS,ER1,ER1TS,2,103,42.6282,-72.366
TS,ER1,ER1TS,2,104,42.6282,-72.366
TS,ER1,ER1TS,2,103,42.6282,-72.366
TS,ER1,ER1TS,2,104,42.6282,-72.366
TS,ER1,ER1TS,3,105,42.6277,-72.366
TS,ER1,ER1TS,3,106,42.6277,-72.366
TS,ER1,ER1TS,3,105,42.6277,-72.366
TS,ER1,ER1TS,3,106,42.6277,-72.366
TS,ER1,ER1TS,3,105,42.6277,-72.366
TS,ER1,ER1TS,3,106,42.6277,-72.366
TS,ER1,ER1TS,3,105,42.6277,-72.366
TS,ER1,ER1TS,3,106,42.6277,-72.366
TS,ER1,ER1TS,3,113,42.6277,-72.366
TS,ER1,ER1TS,3,114,42.6277,-72.366
TS,ER1,ER1TS,3,105,42.6277,-72.366
TS,ER1,ER1TS,3,106,42.6277,-72.366
TS,ER1,ER1TS,3,105,42.6277,-72.366
TS,ER1,ER1TS,3,106,42.6277,-72.366
TS,ER1,ER1TS,3,105,42.6277,-72.366
TS,ER1,ER1TS,3,106,42.6277,-72.366
TS,ER1,ER1TS,4,107,42.6279,-72.3664
TS,ER1,ER1TS,4,108,42.6279,-72.3664
TS,ER1,ER1TS,4,107,42.6279,-72.3664
TS,ER1,ER1TS,4,108,42.6279,-72.3664
TS,ER1,ER1TS,4,107,42.6279,-72.3664
TS,ER1,ER1TS,4,108,42.6279,-72.3664
TS,ER1,ER1TS,4,107,42.6279,-72.3664
TS,ER1,ER1TS,4,108,42.6279,-72.3664
